docname	filename	year	pubtitle	pre	keyword	post
text222997	1958-03-27_167224256_1_page0.txt	1958	LAT		Reuther	has been saying
text225534	1958-02-08_167278020_1_page0.txt	1958	LAT	The contention of these three Republicans is that there should be real exposure of the use of general union funds for political purposes , the attempted destruction of an employer’s business by illegal methods and the activities of Walter	Reuther’s	UAW in the Kohler and Perfect Circle plants . The Kohler strike is a tale of ruthless violence and coercion ; the Perfect Circle strike in Indiana is a counterpart .
text225537	1958-02-08_167278020_1_page0.txt	1958	LAT	Last summer an investigation of the UAW was authorized by the committee and commenced by John McGovern , minority counsel . But of the committee’s 56 staff people , McGovern was assigned only two accountants with which to probe into	Reuther’s	mighty Michigan economic and political bastion , whereas 15 investigators were to have been assigned to the case .
text225538	1958-02-08_167278020_1_page0.txt	1958	LAT	After a time McGovern met with reporters in Detroit and indicated that he had made “ astounding findings ” in his investigation . This was too much for the	Reuther	organization . The big guns of the UAW zeroed in on McGovern , charging him with “ lies and slander . ” Reuther’s lieutenants made it clear to the committee , of which some members have and hope to hold potent UAW political aid , that if the committee didn’t
text225538	1958-02-08_167278020_1_page0.txt	1958	LAT	time McGovern met with reporters in Detroit and indicated that he had made “ astounding findings ” in his investigation . This was too much for the Reuther organization . The big guns of the UAW zeroed in on McGovern , charging him with “ lies and slander . ”	Reuther’s	lieutenants made it clear to the committee , of which some members have and hope to hold potent UAW political aid , that if the committee didn’t stop McGovern “ it will reflect on the committee and it can do a great deal of damage to our government . ”
text225542	1958-02-08_167278020_1_page0.txt	1958	LAT	Republicans on the committee expect hearings in February on two aspects of the Kohler strike—violence and secondary boycotts . Perhaps there will be more , and	Reuther	will be brought in for questioning some time later , but Republicans are not sure . They expect Minority Counsel McGovern to serve in the same capacity as Chief Counsel Robert Kennedy .
text226186	1958-01-25_167192893_1_page0.txt	1958	LAT		Reuther	is demanding
text226309	1958-01-21_167220799_1_page0.txt	1958	LAT		REUTHER'S	PROMISED LAND
text226311	1958-01-21_167220799_1_page0.txt	1958	LAT	Among Walter	Reuther's	assorted talents is
text226324	1958-01-21_167220799_1_page0.txt	1958	LAT	The fact that Mr .	Reuther's	demands smack of genuine Socialism is too
text226326	1958-01-21_167220799_1_page0.txt	1958	LAT	trickiness of	Reuther's	economic thinking and his apparent desire to take
text226330	1958-01-21_167220799_1_page0.txt	1958	LAT	Mr .	Reuther	proposes that profits before taxes up to 10 % on investment
text226335	1958-01-21_167220799_1_page0.txt	1958	LAT	Walter P .	Reuther	
text226342	1958-01-21_167220799_1_page0.txt	1958	LAT	Since the 1,300,000 members of Mr .	Reuther's	union pay far lower taxes
text226348	1958-01-21_167220799_1_page0.txt	1958	LAT	Should	Reuther's	scheme be applied to all industry , tax loss would
text226349	1958-01-21_167220799_1_page0.txt	1958	LAT	mount into the billions . In his letter to local unions Mr .	Reuther	mentioned
text226351	1958-01-21_167220799_1_page0.txt	1958	LAT	could this tax loss be made up ? Here Mr .	Reuther's	economic daydream disintegrates . His increased
text226355	1958-01-21_167220799_1_page0.txt	1958	LAT	Again , Mr .	Reuther	has revealed himself as a remarkably ambitious man ,
text226358	1958-01-21_167220799_1_page0.txt	1958	LAT		Reuther	is an earnest Marxist . "
text197455	1959-12-30_167634130_1_page0.txt	1959	LAT		Reuther	, too , is familiar
text198355	1959-11-28_167550861_1_page0.txt	1959	LAT	Mr . Walter	Reuther	share
text202600	1959-06-16_167454622_1_page0.txt	1959	LAT		Reuther	as an example .
text202693	1959-06-16_167454622_1_page0.txt	1959	LAT	with Walter	Reuther's	
text208153	1959-02-12_167424724_1_page0.txt	1959	LAT	nor Walter	Reuther	can -
text24677	batch3_22_page0.txt	1960	Newsweek		Reuther’s	Industrial Union Digest ,
text25599	batch3_35_page0.txt	1960	Newsweek	which Walter	Reuther	is president ,
text25636	batch3_35_page0.txt	1960	Newsweek	It is refreshing to turn to	Reuther's	
text180480	1960-10-21_167746988_1_page0.txt	1960	LAT		Reuther's	Blunder on Religious
text180484	1960-10-21_167746988_1_page0.txt	1960	LAT		Reuther	, vice president of
text180511	1960-10-21_167746988_1_page0.txt	1960	LAT	has revealed	Reuther's	ob -
text180537	1960-10-21_167746988_1_page0.txt	1960	LAT	But	Reuther	is not a sin -
text180566	1960-10-21_167746988_1_page0.txt	1960	LAT	of Walter	Reuther's	UAW
text180589	1960-10-21_167746988_1_page0.txt	1960	LAT		Reuther's	publica -
text180599	1960-10-21_167746988_1_page0.txt	1960	LAT		Reuther	has compound -
text180613	1960-10-21_167746988_1_page0.txt	1960	LAT	movement which	Reuther	
text183644	1960-09-03_167743313_1_page0.txt	1960	LAT	faith in Walter	Reuther's	
text184286	1960-08-26_167679189_1_page0.txt	1960	LAT	Up to that year , it should be remembered , Michigan had been a relatively safe Republican state . But a combination of weaknesses in the Republican organization and the growing power of the	Reuther	machine has resulted in its being overwhelmingly Democratic for 12 years . It is now reaching the end of the cycle . Ohio may be at the beginning of a similar Democratic trend .
text185298	1960-08-06_167745146_1_page0.txt	1960	LAT	But these men would find that John Kennedy , Hubert Humphrey and Walter	Reuther	, who call themselves liberals , stand for the very policies to which early liberalism was bitterly opposed .
text20022	batch2_220_page0.txt	1961	Newsweek		Reuther	said , as the Presidential cam -
text20038	batch2_220_page0.txt	1961	Newsweek		Reuther	is at the bargaining table
text20055	batch2_220_page0.txt	1961	Newsweek	“ framework ” — a	Reutherian	cliché —
text20057	batch2_220_page0.txt	1961	Newsweek	their statistical roundelay .	Reuther	
text20065	batch2_220_page0.txt	1961	Newsweek		Reuther	demand that his and his
text20086	batch2_220_page0.txt	1961	Newsweek	and over by	Reuther	in the program
text20089	batch2_220_page0.txt	1961	Newsweek	This is the end of a	Reutherian	
text20101	batch2_220_page0.txt	1961	Newsweek	A quarter of a century ago ,	Reuther	
text20115	batch2_220_page0.txt	1961	Newsweek	have referred ,	Reuther	himself sub -
text20118	batch2_220_page0.txt	1961	Newsweek	ablest debating opponent	Reuther	
text175737	1961-01-20_167852267_1_page0.txt	1961	LAT	voice of Walter	Reuther	
text15271	batch2_155_page0.txt	1962	Newsweek	Consider some of the incumbents now seeking re-election in big states , from the bumbling Brown in California to the negative Volpe in Massachusetts , the amiable DiSalle in Ohio , the	Reuther-geared	Swainson in Michigan . Among them all , only Rockefeller is a serious contender for a Presidential nomination .
text164570	1962-02-25_168053746_1_page0.txt	1962	LAT		Reuther	and Gus Scholle .
text164645	1962-02-25_168053746_1_page0.txt	1962	LAT	efficient	Reutherian	ma -
text8431	batch2_47_page0.txt	1964	Newsweek	Walter	Reuther	rallied to Mr . Johnson and Hubert Humphrey .
text8475	batch2_48_page0.txt	1964	Newsweek	the	Reuthers	, Harvard and Texas , all
text9025	batch2_57_page0.txt	1964	Newsweek	As Humphrey's articulate sponsorship of statist policies brought him distinction in the Senate , he formed alliances with liberal leaders from other parts of the nation—notably with Walter	Reuther—who	had drawn their inspiration from other semi-Marxist sources .
text1773	batch1_27_page0.txt	1966	Newsweek	Lewis , the	Reuther	brothers and Sidney
text132560	1966-12-04_155639613_1_page0.txt	1966	LAT	But the	Reuthers	and Hillmans
text132607	1966-12-04_155639613_1_page0.txt	1966	LAT	Since the	Reuthers	and others had
text137271	1966-01-23_155335485_1_page0.txt	1966	LAT		Reuther	.
